Denoising Value,Predicted Denoising Value
12.1,8
11.5,7.5
13.2,8.5
12.8,8.2
11.9,7.8
13,8.3
12.5,7.9
11.7,7.6
12.3,8.1
11.4,7.4
13,8.4
12.7,8.1
11.8,7.7
12.9,8.2
12.4,7.8
11.6,7.5
13.1,8.5
11.5,7.6
13.2,8.6
12,7.9
11.8,7.7
12.9,8.2
11.5,7.5
12.1,7.8
13.3,8.5
11.6,7.6
12.4,7.8
12.5,8
13.4,8.7
11.4,7.4
12.3,7.8
13,8.3
11.9,7.7
12.7,8.1
13.5,8.6
11.8,7.6
12.2,7.5
12.6,8
11.6,7.6
12.9,8.2
11.7,7.5
11.5,7.5
13.1,8.3
12.4,8
13.4,8.7
11.9,7.7
12,7.6
12.8,8.1
11.7,7.6
13.2,8.4
12.5,8.1
11.6,7.5
12.9,8.2
12.2,8
11.4,7.5
13,8.2
11.8,7.7
11.9,7.6
12.7,8.3
11.8,7.6
11.3,7.4
12.1,8
13.5,8.5
11.5,7.5
13.2,8.3
12,7.7
11.7,7.4
12.8,8.3
11.7,7.6
13.1,8.4
12.1,8
11.6,7.5
12.9,8.2
11.9,7.7
11.4,7.4
12.5,8.2
11.8,7.6
13.4,8.6
14.2,8.9
15.1,9.2
15.8,9.5
16.5,9.8
17.2,10.1
18,10.4
18.7,10.7
19.4,11
20.1,11.3
20.8,11.6
15.2,9.3
15.9,9.6
16.6,9.9
17.3,10.2
18.1,10.5
18.8,10.8
19.5,11.1
20.2,11.4
20.9,11.7
21.6,12
8.9,0.67
7.5,0.68
