Brightness, Gamma, Denoising Value, Contrast, Predicted Brightness, Predicted Gamma, Predicted Denoising Value, Predicted Contrast
45.30, 0.70, 12.10, 30.50, 80.50, 0.50, 8.00, 60.00
50.20, 0.68, 11.50, 32.80, 85.00, 0.52, 7.50, 63.00
55.60, 0.75, 13.20, 35.00, 90.20, 0.55, 8.50, 66.50
48.90, 0.73, 12.80, 31.50, 83.50, 0.53, 8.20, 62.00
52.30, 0.71, 11.90, 33.20, 87.00, 0.51, 7.80, 64.50
46.50, 0.74, 13.00, 30.00, 81.00, 0.54, 8.30, 61.00
53.20, 0.72, 12.50, 34.00, 88.50, 0.52, 7.90, 65.00
49.60, 0.70, 11.70, 32.00, 84.00, 0.50, 7.60, 63.50
47.20, 0.69, 12.30, 30.80, 82.00, 0.49, 8.10, 60.50
51.40, 0.67, 11.40, 32.50, 86.50, 0.51, 7.40, 63.20
54.70, 0.74, 13.00, 35.20, 89.80, 0.54, 8.40, 66.70
49.10, 0.72, 12.70, 31.80, 84.20, 0.52, 8.10, 62.30
53.00, 0.70, 11.80, 33.00, 88.00, 0.50, 7.70, 64.00
46.80, 0.73, 12.90, 30.20, 81.50, 0.53, 8.20, 61.20
52.60, 0.71, 12.40, 34.50, 87.50, 0.51, 7.80, 65.50
48.50, 0.69, 11.60, 32.20, 83.00, 0.49, 7.50, 63.00
55.00, 0.75, 13.10, 35.50, 90.00, 0.55, 8.50, 67.00
50.30, 0.68, 11.50, 33.30, 85.50, 0.50, 7.60, 64.20
58.10, 0.73, 13.20, 37.00, 92.20, 0.55, 8.60, 69.00
49.80, 0.71, 12.00, 31.00, 85.00, 0.53, 7.90, 60.50
47.90, 0.68, 11.80, 30.80, 83.50, 0.51, 7.70, 61.20
54.30, 0.74, 12.90, 34.80, 89.50, 0.54, 8.20, 65.30
48.70, 0.69, 11.50, 31.50, 84.00, 0.50, 7.50, 62.00
51.90, 0.70, 12.10, 32.90, 86.80, 0.52, 7.80, 63.80
56.20, 0.75, 13.30, 36.20, 91.00, 0.55, 8.50, 68.20
50.80, 0.68, 11.60, 32.30, 85.80, 0.50, 7.60, 64.00
47.50, 0.70, 12.40, 30.30, 82.50, 0.52, 7.80, 60.80
52.30, 0.72, 12.50, 33.40, 87.20, 0.53, 8.00, 65.00
